workspace,milestone_id,title,is_evaluated,cat_feature,cat_enhance,cat_bugfix,cat_chore,cat_refactor,additions,deletions,src_loc,touched_files,num_commits,srs_word_count,layer,in_weak_degree,in_strong_degree,in_degree,out_weak_degree,out_strong_degree,out_degree,degree,human_dev_time,human_writing_time
dubbo,M001.1,Spring Security OAuth2 Serialization Support,True,True,False,False,False,False,496.0,4.0,500.0,12.0,2.0,1608.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1-3d,1-2h
dubbo,M001.2,Spring 6 Security Module Split and UTF-8 Standardization,True,True,True,False,False,False,337.0,48.0,385.0,28.0,2.0,517.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1-3d,30m-1h
dubbo,M002,HTTP/2 Connection Preface Protocol Implementation,False,,,,,,,,,,,,,,,,,,,,1-3d,30m-1h
dubbo,M003.1,Mutiny Module Configuration and Code Generation Templates,True,True,False,False,False,False,337.0,21.0,358.0,7.0,1.0,369.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4h-1d,<30m
dubbo,M003.2,Mutiny Core Abstractions and Publisher/Subscriber,False,True,False,False,False,False,455.0,0.0,455.0,6.0,1.0,1287.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1-3d,30m-1h
dubbo,M003.3,Mutiny Reactive Streaming Support,True,True,True,False,False,False,543.0,0.0,543.0,7.0,2.0,1568.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1-3d,1-2h
dubbo,M004,REST Streaming and SSE Infrastructure Enhancements,True,True,False,True,False,False,452.0,45.0,497.0,13.0,3.0,885.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1-3d,1-2h
dubbo,M005.1,Affinity Router Core Infrastructure and Model,False,,,,,,,,,,,,,,,,,,,,,
dubbo,M005.2,Affinity Router Config-Based Implementations,False,,,,,,,,,,,,,,,,,,,,,
dubbo,M006,RadixTree Multi-Method REST Path Routing Fix,True,False,False,True,False,False,171.0,4.0,175.0,6.0,2.0,802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4h-1d,<30m
dubbo,M007,Method-Level TPS Rate Limiting,False,,,,,,,,,,,,,,,,,,,,,
dubbo,M010,Bouncy Castle JDK18 Security Upgrade,False,,,,,,,,,,,,,,,,,,,,,
dubbo,M011,Logging FQCN Infrastructure Enhancement,True,True,False,False,False,False,193.0,78.0,271.0,9.0,1.0,1504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-3d,30m-1h
dubbo,M012,Tracing and Metrics Infrastructure Improvements,False,,,,,,,,,,,,,,,,,,,,4h-1d,30m-1h
dubbo,M013,Environment Variable Key Resolution Enhancement,False,,,,,,,,,,,,,,,,,,,,,
dubbo,M014,Java 21 Virtual Thread Pool Auto-Configuration,False,,,,,,,,,,,,,,,,,,,,,
dubbo,M015,Third-Party Dependency Version Updates,False,,,,,,,,,,,,,,,,,,,,,
dubbo,M016.1,REST Bean Argument Resolution and Protocol Fixes,True,False,False,True,False,False,337.0,159.0,496.0,40.0,10.0,967.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1-3d,2-4h
dubbo,M017,Remoting Module Stability and Triple Protocol Enhancements,True,True,False,True,False,False,193.0,46.0,239.0,23.0,6.0,1539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3-5d,30m-1h
dubbo,M018,Performance Optimizations for Hot Code Paths,True,False,True,False,False,False,61.0,49.0,110.0,5.0,3.0,707.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4h-1d,30m-1h
dubbo,M019,Minor Feature Enhancements and Additions,True,True,False,False,False,False,282.0,163.0,445.0,27.0,8.0,758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-3d,30m-1h
dubbo,M020,Test Infrastructure Dependency Cleanup,False,,,,,,,,,,,,,,,,,,,,,
dubbo,M021,Code Cleanup and Refactoring,False,,,,,,,,,,,,,,,,,,,,,
dubbo,M022,Triple Protocol Reliability and Stability Improvements,False,,,,,,,,,,,,,,,,,,,,,
dubbo,M024,Registration and Thread Safety Configuration Improvements,False,,,,,,,,,,,,,,,,,,,,4h-1d,30m-1h
dubbo,M025,Miscellaneous Fixes and Improvements,True,False,True,True,False,False,27.0,108.0,135.0,24.0,10.0,1302.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4h-1d,1-2h
ripgrep,maintenance_fixes_1_sub-01,Exit Code and Search Worker Initialization Bug Fixes,True,True,True,True,False,False,122.0,36.0,158.0,7.0,6.0,1173.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4h-1d,30m-1h
ripgrep,maintenance_fixes_1_sub-02,Maintenance Fixes and Minor Enhancements,True,True,False,True,False,False,112.0,29.0,141.0,17.0,16.0,2053.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,1-3d,1-2h
ripgrep,maintenance_style_1,Code Style Refactoring to Modern Rust Idioms,False,False,True,True,False,True,71.0,125.0,196.0,38.0,6.0,846.0,3.0,3.0,0.0,3.0,1.0,0.0,1.0,4.0,1-4h,<30m
ripgrep,milestone_seed_119407d_1_sub-01,Windows Hyperlink Path Performance Optimization,False,False,True,True,False,False,27.0,26.0,53.0,1.0,1.0,522.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4h-1d,30m-1h
ripgrep,milestone_seed_119407d_1_sub-02,Hyperlink Alias Modular Architecture Restructuring,True,True,False,False,False,True,219.0,57.0,276.0,6.0,2.0,1240.0,2.0,0.0,6.0,6.0,1.0,0.0,1.0,7.0,4h-1d,30m-1h
ripgrep,milestone_seed_2924d0c_1,Add Minimum Depth Option for Directory Traversal,True,True,False,False,False,False,47.0,4.0,51.0,1.0,1.0,703.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4h-1d,30m-1h
